Date;Package Name;Acquisition Channel;Store Listing Visitors;Installers;Visitor-to-Installer conversion rate;Installers retained for 1 day;Installer-to-1 day retention rate;Installers retained for 7 days;Installer-to-7 days retention rate;Installers retained for 15 days;Installer-to-15 days retention rate;Installers retained for 30 days;Installer-to-30 days retention rate
30/09/2019;B4 Bank;Organic;3950;590;0.149;529;0.897;508;0.861;502;0.851;496;0.841
31/09/2019;B4 Bank;Organic;1874;275;0.147;249;0.905;242;0.880;234;0.851;229;0.833
01/10/2019;B4 Bank;Organic;1584;236;0.149;219;0.928;212;0.898;207;0.877;202;0.856
02/10/2019;B4 Bank;Organic;2741;483;0.176;439;0.909;423;0.876;412;0.853;400;0.828
03/10/2019;B4 Bank;Organic;2361;480;0.203;417;0.869;400;0.833;385;0.802;377;0.785
04/10/2019;B4 Bank;Organic;2062;450;0.218;404;0.898;389;0.864;381;0.847;371;0.824
05/10/2019;B4 Bank;Organic;2061;405;0.197;370;0.914;359;0.886;348;0.859;342;0.844
06/10/2019;B4 Bank;Organic;1867;391;0.209;344;0.880;326;0.834;319;0.816;313;0.801
07/10/2019;B4 Bank;Organic;1123;195;0.174;167;0.856;161;0.826;157;0.805;153;0.785
08/10/2019;B4 Bank;Organic;1196;191;0.160;171;0.895;163;0.853;156;0.817;151;0.791
09/10/2019;B4 Bank;Organic;2148;441;0.205;394;0.893;378;0.857;367;0.832;355;0.805
10/10/2019;B4 Bank;Organic;1973;441;0.224;391;0.887;375;0.850;365;0.828;357;0.810
11/10/2019;B4 Bank;Organic;1564;394;0.252;343;0.871;327;0.830;320;0.812;313;0.794
12/10/2019;B4 Bank;Organic;1547;388;0.251;345;0.889;329;0.848;319;0.822;307;0.791
13/10/2019;B4 Bank;Organic;2628;512;0.195;464;0.906;443;0.865;425;0.830;412;0.805
14/10/2019;B4 Bank;Organic;4152;382;0.092;340;0.890;323;0.846;314;0.822;303;0.793
15/10/2019;B4 Bank;Organic;3148;319;0.101;283;0.887;268;0.840;263;0.824;256;0.803
16/10/2019;B4 Bank;Organic;6149;618;0.101;571;0.924;545;0.882;537;0.869;527;0.853
17/10/2019;B4 Bank;Organic;4388;511;0.116;454;0.888;439;0.859;428;0.838;416;0.814
18/10/2019;B4 Bank;Organic;3677;505;0.137;459;0.909;443;0.877;434;0.859;417;0.826
19/10/2019;B4 Bank;Organic;3352;472;0.141;417;0.883;400;0.847;393;0.833;379;0.803
20/10/2019;B4 Bank;Organic;3339;474;0.142;438;0.924;417;0.880;407;0.859;402;0.848
21/10/2019;B4 Bank;Organic;1811;245;0.135;220;0.898;197;0.804;188;0.767;180;0.735
22/10/2019;B4 Bank;Organic;1609;209;0.130;181;0.866;176;0.842;168;0.804;163;0.780
23/10/2019;B4 Bank;Organic;2477;423;0.171;382;0.903;361;0.853;350;0.827;331;0.783
24/10/2019;B4 Bank;Organic;2570;474;0.184;430;0.907;414;0.873;402;0.848;393;0.829
25/10/2019;B4 Bank;Organic;2348;431;0.184;378;0.877;352;0.817;339;0.787;331;0.768
26/10/2019;B4 Bank;Organic;2125;385;0.181;338;0.878;314;0.816;305;0.792;296;0.769
27/10/2019;B4 Bank;Organic;2069;413;0.200;376;0.910;366;0.886;357;0.864;348;0.843
28/10/2019;B4 Bank;Organic;1532;270;0.176;240;0.889;220;0.815;208;0.770;195;0.722
29/10/2019;B4 Bank;Organic;1326;258;0.195;207;0.802;193;0.748;184;0.713;175;0.678
30/10/2019;B4 Bank;Organic;2457;545;0.222;437;0.802;402;0.738;386;0.708;374;0.686
